"GEO_ID","NAME","B01003_001E","B01003_001M"
"0500000US05083","Logan County, Arkansas","21757","*****"
"0500000US05085","Lonoke County, Arkansas","72206","*****"
"0500000US05087","Madison County, Arkansas","16076","*****"
"0500000US05089","Marion County, Arkansas","16438","*****"
"0500000US05091","Miller County, Arkansas","43759","*****"
"0500000US05093","Mississippi County, Arkansas","42831","*****"
"0500000US05095","Monroe County, Arkansas","7249","*****"
"0500000US05097","Montgomery County, Arkansas","8993","*****"
"0500000US05099","Nevada County, Arkansas","8440","*****"
"0500000US05101","Newton County, Arkansas","7848","*****"
"0500000US05103","Ouachita County, Arkansas","24106","*****"
"0500000US05105","Perry County, Arkansas","10322","*****"
"0500000US05107","Phillips County, Arkansas","19034","*****"
"0500000US05109","Pike County, Arkansas","10808","*****"
"0500000US05111","Poinsett County, Arkansas","24054","*****"
"0500000US05113","Polk County, Arkansas","20163","*****"
"0500000US05115","Pope County, Arkansas","63644","*****"
"0500000US05117","Prairie County, Arkansas","8244","*****"
"0500000US05119","Pulaski County, Arkansas","393463","*****"
"0500000US05121","Randolph County, Arkansas","17603","*****"
"0500000US05123","St. Francis County, Arkansas","26294","*****"
"0500000US05125","Saline County, Arkansas","118009","*****"
"0500000US05127","Scott County, Arkansas","10442","*****"
"0500000US05129","Searcy County, Arkansas","7923","*****"
"0500000US05131","Sebastian County, Arkansas","127461","*****"
"0500000US05133","Sevier County, Arkansas","17193","*****"
"0500000US05135","Sharp County, Arkansas","17043","*****"
"0500000US05137","Stone County, Arkansas","12446","*****"
"0500000US05139","Union County, Arkansas","39732","*****"
"0500000US05141","Van Buren County, Arkansas","16684","*****"
"0500000US05143","Washington County, Arkansas","228529","*****"
"0500000US05145","White County, Arkansas","78804","*****"
"0500000US05147","Woodruff County, Arkansas","6660","*****"
"0500000US05149","Yell County, Arkansas","21573","*****"
"0500000US06001","Alameda County, California","1643700","*****"
"0500000US06005","Amador County, California","37829","*****"
"0500000US06007","Butte County, California","227075","*****"
"0500000US06009","Calaveras County, California","45235","*****"
"0500000US06011","Colusa County, California","21464","*****"
"0500000US06013","Contra Costa County, California","1133247","*****"
"0500000US06015","Del Norte County, California","27424","*****"
"0500000US06017","El Dorado County, California","186661","*****"
"0500000US06019","Fresno County, California","978130","*****"
"0500000US06021","Glenn County, California","27897","*****"
"0500000US06023","Humboldt County, California","135768","*****"
"0500000US06025","Imperial County, California","180216","*****"
"0500000US06027","Inyo County, California","18085","*****"
"0500000US06029","Kern County, California","883053","*****"
"0500000US06031","Kings County, California","150075","*****"
"0500000US06033","Lake County, California","64148","*****"
"0500000US06035","Lassen County, California","31185","*****"
"0500000US06037","Los Angeles County, California","10098052","*****"
"0500000US06039","Madera County, California","155013","*****"
"0500000US06041","Marin County, California","260295","*****"
"0500000US06043","Mariposa County, California","17540","*****"
"0500000US06045","Mendocino County, California","87422","*****"
"0500000US06047","Merced County, California","269075","*****"
"0500000US06049","Modoc County, California","8938","*****"
"0500000US06051","Mono County, California","14174","*****"
"0500000US06053","Monterey County, California","433212","*****"
"0500000US06055","Napa County, California","140530","*****"
"0500000US06057","Nevada County, California","99092","*****"
"0500000US06059","Orange County, California","3164182","*****"
"0500000US06061","Placer County, California","380077","*****"
"0500000US06063","Plumas County, California","18699","*****"
"0500000US06065","Riverside County, California","2383286","*****"
"0500000US06067","Sacramento County, California","1510023","*****"
"0500000US06069","San Benito County, California","59416","*****"
"0500000US06071","San Bernardino County, California","2135413","*****"
"0500000US06073","San Diego County, California","3302833","*****"
"0500000US06075","San Francisco County, California","870044","*****"
"0500000US06077","San Joaquin County, California","732212","*****"
"0500000US06079","San Luis Obispo County, California","281455","*****"
"0500000US06081","San Mateo County, California","765935","*****"
"0500000US06083","Santa Barbara County, California","443738","*****"
"0500000US06085","Santa Clara County, California","1922200","*****"
"0500000US06087","Santa Cruz County, California","273765","*****"
"0500000US06089","Shasta County, California","179085","*****"
"0500000US06093","Siskiyou County, California","43540","*****"
"0500000US06095","Solano County, California","438530","*****"
"0500000US06097","Sonoma County, California","501317","*****"
"0500000US06099","Stanislaus County, California","539301","*****"
"0500000US06101","Sutter County, California","95872","*****"
"0500000US06103","Tehama County, California","63373","*****"
"0500000US06105","Trinity County, California","12862","*****"
"0500000US06107","Tulare County, California","460477","*****"
"0500000US06109","Tuolumne County, California","53932","*****"
"0500000US06111","Ventura County, California","848112","*****"
"0500000US06113","Yolo County, California","214977","*****"
"0500000US06115","Yuba County, California","75493","*****"
"0500000US08001","Adams County, Colorado","497115","*****"
"0500000US08003","Alamosa County, Colorado","16444","*****"
"0500000US08005","Arapahoe County, Colorado","636671","*****"
"0500000US08007","Archuleta County, Colorado","12908","*****"
"0500000US08009","Baca County, Colorado","3563","*****"
"0500000US08011","Bent County, Colorado","5809","*****"
"0500000US08013","Boulder County, Colorado","321030","*****"
"0500000US08014","Broomfield County, Colorado","66120","*****"
"0500000US08015","Chaffee County, Colorado","19164","*****"
"0500000US08019","Clear Creek County, Colorado","9379","*****"
"0500000US08021","Conejos County, Colorado","8142","*****"
"0500000US08023","Costilla County, Colorado","3687","*****"
"0500000US08025","Crowley County, Colorado","5630","*****"
"0500000US08027","Custer County, Colorado","4640","*****"
"0500000US08029","Delta County, Colorado","30346","*****"
"0500000US08031","Denver County, Colorado","693417","*****"
"0500000US08035","Douglas County, Colorado","328614","*****"
"0500000US08037","Eagle County, Colorado","54357","*****"
"0500000US08039","Elbert County, Colorado","25162","*****"
"0500000US08041","El Paso County, Colorado","688153","*****"
"0500000US08043","Fremont County, Colorado","47002","*****"
"0500000US08045","Garfield County, Colorado","58538","*****"
"0500000US08047","Gilpin County, Colorado","5924","*****"
"0500000US08049","Grand County, Colorado","15066","*****"
"0500000US08051","Gunnison County, Colorado","16537","*****"
"0500000US08055","Huerfano County, Colorado","6583","*****"
"0500000US08059","Jefferson County, Colorado","570427","*****"
"0500000US08063","Kit Carson County, Colorado","7635","*****"
"0500000US08065","Lake County, Colorado","7585","*****"
"0500000US08067","La Plata County, Colorado","55101","*****"
"0500000US08069","Larimer County, Colorado","338161","*****"
"0500000US08071","Las Animas County, Colorado","14179","*****"
"0500000US08073","Lincoln County, Colorado","5548","*****"
"0500000US08075","Logan County, Colorado","21689","*****"
"0500000US08077","Mesa County, Colorado","149998","*****"
"0500000US08081","Moffat County, Colorado","13060","*****"
"0500000US08083","Montezuma County, Colorado","25909","*****"
"0500000US08085","Montrose County, Colorado","41268","*****"
"0500000US08087","Morgan County, Colorado","28257","*****"
"0500000US08089","Otero County, Colorado","18325","*****"
"0500000US08091","Ouray County, Colorado","4722","*****"
"0500000US08093","Park County, Colorado","17392","*****"
"0500000US08095","Phillips County, Colorado","4318","*****"
"0500000US08097","Pitkin County, Colorado","17909","*****"
"0500000US08099","Prowers County, Colorado","12052","*****"
"0500000US08101","Pueblo County, Colorado","164685","*****"
"0500000US08103","Rio Blanco County, Colorado","6465","*****"
"0500000US08105","Rio Grande County, Colorado","11351","*****"
"0500000US08107","Routt County, Colorado","24874","*****"
"0500000US08109","Saguache County, Colorado","6468","*****"
"0500000US08113","San Miguel County, Colorado","7968","*****"
"0500000US08115","Sedgwick County, Colorado","2350","*****"
"0500000US08117","Summit County, Colorado","30429","*****"
"0500000US08119","Teller County, Colorado","24113","*****"
"0500000US08121","Washington County, Colorado","4840","*****"
"0500000US08123","Weld County, Colorado","295123","*****"
"0500000US08125","Yuma County, Colorado","10069","*****"
"0500000US09001","Fairfield County, Connecticut","944348","*****"
"0500000US09003","Hartford County, Connecticut","894730","*****"
"0500000US09005","Litchfield County, Connecticut","183031","*****"
"0500000US09007","Middlesex County, Connecticut","163368","*****"
"0500000US09009","New Haven County, Connecticut","859339","*****"
"0500000US09011","New London County, Connecticut","268881","*****"
"0500000US09013","Tolland County, Connecticut","151269","*****"
"0500000US09015","Windham County, Connecticut","116538","*****"
"0500000US10001","Kent County, Delaware","174822","*****"
"0500000US10003","New Castle County, Delaware","555133","*****"
"0500000US10005","Sussex County, Delaware","219540","*****"
"0500000US11001","District of Columbia, District of Columbia","684498","*****"
"0500000US12001","Alachua County, Florida","263148","*****"
"0500000US12003","Baker County, Florida","27785","*****"
"0500000US12005","Bay County, Florida","182482","*****"
"0500000US12007","Bradford County, Florida","26979","*****"
"0500000US12009","Brevard County, Florida","576808","*****"
"0500000US12011","Broward County, Florida","1909151","*****"
"0500000US12013","Calhoun County, Florida","14444","*****"
"0500000US12015","Charlotte County, Florida","176954","*****"
"0500000US12017","Citrus County, Florida","143087","*****"
"0500000US12019","Clay County, Florida","207291","*****"
"0500000US12021","Collier County, Florida","363922","*****"
"0500000US12023","Columbia County, Florida","69105","*****"
"0500000US12027","DeSoto County, Florida","36399","*****"
"0500000US12029","Dixie County, Florida","16437","*****"
"0500000US12031","Duval County, Florida","924229","*****"
"0500000US12033","Escambia County, Florida","311522","*****"
"0500000US12035","Flagler County, Florida","107139","*****"
"0500000US12037","Franklin County, Florida","11736","*****"
"0500000US12039","Gadsden County, Florida","46017","*****"
"0500000US12041","Gilchrist County, Florida","17615","*****"
"0500000US12043","Glades County, Florida","13363","*****"
"0500000US12045","Gulf County, Florida","16055","*****"
"0500000US12047","Hamilton County, Florida","14269","*****"
"0500000US12049","Hardee County, Florida","27228","*****"
"0500000US12051","Hendry County, Florida","40127","*****"
"0500000US12053","Hernando County, Florida","182696","*****"
"0500000US12055","Highlands County, Florida","102101","*****"
"0500000US12057","Hillsborough County, Florida","1378883","*****"
"0500000US12059","Holmes County, Florida","19430","*****"
"0500000US12061","Indian River County, Florida","150984","*****"
"0500000US12063","Jackson County, Florida","48472","*****"
"0500000US12065","Jefferson County, Florida","14105","*****"
"0500000US12067","Lafayette County, Florida","8744","*****"
"0500000US12069","Lake County, Florida","335362","*****"
"0500000US12071","Lee County, Florida","718679","*****"
"0500000US12073","Leon County, Florida","288102","*****"
"0500000US12075","Levy County, Florida","39961","*****"
"0500000US12077","Liberty County, Florida","8365","*****"
"0500000US12079","Madison County, Florida","18474","*****"
"0500000US12081","Manatee County, Florida","373853","*****"
"0500000US12083","Marion County, Florida","348371","*****"
"0500000US12085","Martin County, Florida","157581","*****"
"0500000US12086","Miami-Dade County, Florida","2715516","*****"
"0500000US12087","Monroe County, Florida","76325","*****"
"0500000US12089","Nassau County, Florida","80578","*****"
"0500000US12091","Okaloosa County, Florida","200737","*****"
"0500000US12093","Okeechobee County, Florida","40572","*****"
"0500000US12095","Orange County, Florida","1321194","*****"
"0500000US12097","Osceola County, Florida","338619","*****"
"0500000US12099","Palm Beach County, Florida","1446277","*****"
"0500000US12101","Pasco County, Florida","510593","*****"
"0500000US12103","Pinellas County, Florida","957875","*****"
"0500000US12105","Polk County, Florida","668671","*****"
"0500000US12107","Putnam County, Florida","72766","*****"
"0500000US12109","St. Johns County, Florida","235503","*****"
"0500000US12111","St. Lucie County, Florida","305591","*****"
"0500000US12113","Santa Rosa County, Florida","170442","*****"
"0500000US12115","Sarasota County, Florida","412144","*****"
"0500000US12117","Seminole County, Florida","455086","*****"
"0500000US12119","Sumter County, Florida","120999","*****"
"0500000US12121","Suwannee County, Florida","43924","*****"
"0500000US12123","Taylor County, Florida","22098","*****"
"0500000US12125","Union County, Florida","15239","*****"
"0500000US12127","Volusia County, Florida","527634","*****"
"0500000US12129","Wakulla County, Florida","31877","*****"
"0500000US12131","Walton County, Florida","65858","*****"
"0500000US12133","Washington County, Florida","24566","*****"
"0500000US13001","Appling County, Georgia","18454","*****"
"0500000US13003","Atkinson County, Georgia","8265","*****"
"0500000US13005","Bacon County, Georgia","11228","*****"
"0500000US13007","Baker County, Georgia","3189","*****"
"0500000US13009","Baldwin County, Georgia","45286","*****"
"0500000US13011","Banks County, Georgia","18510","*****"
"0500000US13013","Barrow County, Georgia","76887","*****"
"0500000US13015","Bartow County, Georgia","103620","*****"
"0500000US13017","Ben Hill County, Georgia","17154","*****"
"0500000US13019","Berrien County, Georgia","19025","*****"
"0500000US13021","Bibb County, Georgia","153490","*****"
"0500000US13023","Bleckley County, Georgia","12775","*****"
"0500000US13025","Brantley County, Georgia","18561","*****"
"0500000US13027","Brooks County, Georgia","15622","*****"
"0500000US13029","Bryan County, Georgia","35885","*****"
"0500000US13031","Bulloch County, Georgia","74782","*****"
"0500000US13033","Burke County, Georgia","22550","*****"
"0500000US13035","Butts County, Georgia","23750","*****"
"0500000US13037","Calhoun County, Georgia","6428","*****"
"0500000US13039","Camden County, Georgia","52714","*****"
"0500000US13043","Candler County, Georgia","10827","*****"
"0500000US13045","Carroll County, Georgia","116022","*****"
"0500000US13047","Catoosa County, Georgia","66299","*****"
"0500000US13049","Charlton County, Georgia","12983","*****"
"0500000US13051","Chatham County, Georgia","287049","*****"
"0500000US13053","Chattahoochee County, Georgia","10767","*****"
"0500000US13055","Chattooga County, Georgia","24817","*****"
"0500000US13057","Cherokee County, Georgia","241910","*****"
"0500000US13059","Clarke County, Georgia","124602","*****"
"0500000US13061","Clay County, Georgia","3001","*****"
"0500000US13063","Clayton County, Georgia","278666","*****"
"0500000US13065","Clinch County, Georgia","6743","*****"
"0500000US13067","Cobb County, Georgia","745057","*****"
"0500000US13069","Coffee County, Georgia","42961","*****"
"0500000US13071","Colquitt County, Georgia","45606","*****"
"0500000US13073","Columbia County, Georgia","147295","*****"
"0500000US13075","Cook County, Georgia","17184","*****"
"0500000US13077","Coweta County, Georgia","140516","*****"
"0500000US13079","Crawford County, Georgia","12344","*****"
"0500000US13081","Crisp County, Georgia","22846","*****"
"0500000US13083","Dade County, Georgia","16227","*****"
"0500000US13085","Dawson County, Georgia","23861","*****"
"0500000US13087","Decatur County, Georgia","26833","*****"
"0500000US13089","DeKalb County, Georgia","743187","*****"
"0500000US13091","Dodge County, Georgia","20919","*****"
"0500000US13093","Dooly County, Georgia","13905","*****"
"0500000US13095","Dougherty County, Georgia","91049","*****"
"0500000US13097","Douglas County, Georgia","141840","*****"
"0500000US13099","Early County, Georgia","10348","*****"
"0500000US13101","Echols County, Georgia","3994","*****"
"0500000US13103","Effingham County, Georgia","58689","*****"
"0500000US13105","Elbert County, Georgia","19212","*****"
"0500000US13107","Emanuel County, Georgia","22499","*****"
"0500000US13109","Evans County, Georgia","10727","*****"
"0500000US13111","Fannin County, Georgia","24925","*****"
"0500000US13113","Fayette County, Georgia","111369","*****"
"0500000US13115","Floyd County, Georgia","96824","*****"
"0500000US13117","Forsyth County, Georgia","219880","*****"
"0500000US13119","Franklin County, Georgia","22514","*****"
"0500000US13121","Fulton County, Georgia","1021902","*****"
"0500000US13123","Gilmer County, Georgia","29922","*****"
"0500000US13125","Glascock County, Georgia","3009","*****"
"0500000US13127","Glynn County, Georgia","83974","*****"
"0500000US13129","Gordon County, Georgia","56790","*****"
"0500000US13131","Grady County, Georgia","24926","*****"
"0500000US13133","Greene County, Georgia","16976","*****"
"0500000US13135","Gwinnett County, Georgia","902298","*****"
"0500000US13137","Habersham County, Georgia","44289","*****"
"0500000US13139","Hall County, Georgia","195961","*****"
"0500000US13141","Hancock County, Georgia","8535","*****"
"0500000US13143","Haralson County, Georgia","28956","*****"
"0500000US13145","Harris County, Georgia","33590","*****"
"0500000US13147","Hart County, Georgia","25631","*****"
"0500000US13149","Heard County, Georgia","11677","*****"
"0500000US13151","Henry County, Georgia","221307","*****"
"0500000US13153","Houston County, Georgia","151682","*****"
"0500000US13155","Irwin County, Georgia","9268","*****"
"0500000US13157","Jackson County, Georgia","65755","*****"
"0500000US13159","Jasper County, Georgia","13784","*****"
"0500000US13161","Jeff Davis County, Georgia","14991","*****"
"0500000US13163","Jefferson County, Georgia","15772","*****"
"0500000US13165","Jenkins County, Georgia","8827","*****"
"0500000US13167","Johnson County, Georgia","9730","*****"
"0500000US13169","Jones County, Georgia","28548","*****"
"0500000US13171","Lamar County, Georgia","18513","*****"
"0500000US13173","Lanier County, Georgia","10366","*****"
"0500000US13175","Laurens County, Georgia","47418","*****"
"0500000US13177","Lee County, Georgia","29348","*****"
"0500000US13179","Liberty County, Georgia","62108","*****"
"0500000US13181","Lincoln County, Georgia","7799","*****"
"0500000US13183","Long County, Georgia","18156","*****"
"0500000US13185","Lowndes County, Georgia","114582","*****"
"0500000US13187","Lumpkin County, Georgia","31951","*****"
"0500000US13189","McDuffie County, Georgia","21498","*****"
"0500000US13191","McIntosh County, Georgia","14120","*****"
"0500000US13193","Macon County, Georgia","13480","*****"
"0500000US13195","Madison County, Georgia","28900","*****"
"0500000US13197","Marion County, Georgia","8484","*****"
"0500000US13199","Meriwether County, Georgia","21113","*****"
"0500000US13201","Miller County, Georgia","5836","*****"
"0500000US13205","Mitchell County, Georgia","22432","*****"
"0500000US13207","Monroe County, Georgia","27010","*****"
"0500000US13209","Montgomery County, Georgia","9036","*****"
"0500000US13211","Morgan County, Georgia","18235","*****"
"0500000US13213","Murray County, Georgia","39557","*****"
"0500000US13215","Muscogee County, Georgia","196670","*****"
"0500000US13217","Newton County, Georgia","106497","*****"
"0500000US13219","Oconee County, Georgia","37017","*****"
"0500000US13221","Oglethorpe County, Georgia","14784","*****"
"0500000US13223","Paulding County, Georgia","155840","*****"
"0500000US13225","Peach County, Georgia","26966","*****"
"0500000US13227","Pickens County, Georgia","30832","*****"
"0500000US13229","Pierce County, Georgia","19164","*****"
"0500000US13231","Pike County, Georgia","18082","*****"
"0500000US13233","Polk County, Georgia","41621","*****"
"0500000US13235","Pulaski County, Georgia","11295","*****"
"0500000US13237","Putnam County, Georgia","21503","*****"
"0500000US13241","Rabun County, Georgia","16457","*****"
"0500000US13243","Randolph County, Georgia","7087","*****"
"0500000US13245","Richmond County, Georgia","201463","*****"
"0500000US13247","Rockdale County, Georgia","89011","*****"
"0500000US13249","Schley County, Georgia","5211","*****"
"0500000US13251","Screven County, Georgia","13990","*****"
"0500000US13253","Seminole County, Georgia","8437","*****"
"0500000US13255","Spalding County, Georgia","64719","*****"
"0500000US13257","Stephens County, Georgia","25676","*****"
"0500000US13259","Stewart County, Georgia","6042","*****"
"0500000US13261","Sumter County, Georgia","30352","*****"
"0500000US13263","Talbot County, Georgia","6378","*****"
"0500000US13267","Tattnall County, Georgia","25353","*****"
"0500000US13269","Taylor County, Georgia","8193","*****"
"0500000US13271","Telfair County, Georgia","16115","*****"
"0500000US13273","Terrell County, Georgia","8859","*****"
"0500000US13275","Thomas County, Georgia","44730","*****"
"0500000US13277","Tift County, Georgia","40510","*****"
"0500000US13279","Toombs County, Georgia","27048","*****"
"0500000US13281","Towns County, Georgia","11417","*****"
"0500000US13283","Treutlen County, Georgia","6777","*****"
"0500000US13285","Troup County, Georgia","69774","*****"
"0500000US13287","Turner County, Georgia","7962","*****"
"0500000US13289","Twiggs County, Georgia","8284","*****"
"0500000US13291","Union County, Georgia","22775","*****"
"0500000US13293","Upson County, Georgia","26216","*****"
"0500000US13295","Walker County, Georgia","68824","*****"
"0500000US13297","Walton County, Georgia","90132","*****"
"0500000US13299","Ware County, Georgia","35599","*****"
"0500000US13301","Warren County, Georgia","5346","*****"
"0500000US13303","Washington County, Georgia","20461","*****"
"0500000US13305","Wayne County, Georgia","29767","*****"
"0500000US13307","Webster County, Georgia","2613","*****"
"0500000US13309","Wheeler County, Georgia","7939","*****"
"0500000US13311","White County, Georgia","28928","*****"
"0500000US13313","Whitfield County, Georgia","103849","*****"
"0500000US13315","Wilcox County, Georgia","8846","*****"
"0500000US13317","Wilkes County, Georgia","9884","*****"
"0500000US13319","Wilkinson County, Georgia","9078","*****"
"0500000US13321","Worth County, Georgia","20656","*****"
"0500000US15001","Hawaii County, Hawaii","197658","*****"
"0500000US15003","Honolulu County, Hawaii","987638","*****"
"0500000US15007","Kauai County, Hawaii","71377","*****"
